,Titles,Platform,Format,Playing Status,Owned Status,hltbTitle,hltbURL,titleMatch
164,RetroGrade,PS3,Digital,Not Played,Own,,,
165,Proteus,PS3/PS Vita,Digital,Not Played,Own,,,
166,Gone Home: Console Edition,PS4,Digital,Not Played,Own,,,
167,Patapon 3,PS3/PS Vita,Digital,Not Played,Own,,,
168,Grim Fandango Remastered,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
169,Grow Home,PS4,Digital,Not Played,Own,,,
170,Fat Princess,PS3,Digital,Not Played,Own,,,
171,Oreshika: Tainted Bloodlines,PS3/PS Vita,Digital,Not Played,Own,,,
172,Prince of Persia: Revelations,PS3/PS Vita,Digital,Not Played,Own,,,
173,echochrome,PS3,Digital,Not Played,Own,,,
174,God of War: Chains of Olympus,PS3/PS Vita,Digital,Beaten,Own,,,
175,Little Deviants,PS3/PS Vita,Digital,Not Played,Own,,,
176,Bionic Commando Rearmed 2,PS3,Digital,Not Played,Own,,,
177,Guacamelee! Super Turbo Championship Edition,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
178,LocoRoco Cocoreccho!,PS3,Digital,Not Played,Own,,,
179,God of War: Ghost of Sparta,PS Vita,Digital,Not Played,Own,,,
180,A Virus Named TOM,PS3/PS Vita,Digital,Not Played,Own,,,
181,GUNS UP!,PS4,Digital,Not Played,Own,,,
182,Savage Moon,PS3,Digital,Not Played,Own,,,
183,Hardware: Rivals,PS4,Digital,Not Played,Own,,,
184,I Am Alive,PS3,Digital,Not Played,Own,,,
185,Hatoful Boyfriend,PS4/PS Vita,Digital,Not Played,Own,,,
186,Frozen Synapse Prime,PS3,Digital,Not Played,Own,,,
187,Flame Over,PS3/PS Vita,Digital,Not Played,Own,,,
188,PixelJunk Monsters: Ultimate HD,PS3/PS Vita,Digital,Not Played,Own,,,
189,Super Stardust HD,PS3,Digital,Not Played,Own,,,
190,PixelJunk Shooter Ultimate,PS3,Digital,Not Played,Own,,,
191,Hawken,PS4,Digital,Not Played,Own,,,
192,Dragon Age: Origins,PS3,Digital,Not Played,Own,,,
193,Dragon Age: Origins,PC,Origin,Not Played,Own,,,
194,TxK,PS3/PS Vita,Digital,Not Played,Own,,,
195,Helldivers,PS4/PS3/PS Vita,Digital,Played,Own,,,
196,Sportsfriends,PS3,Digital,Not Played,Own,,,
197,Hohokum,PS4/PS3/PS Vita,Digital,Not Played,Own,,,
198,Horizon Zero Dawn,PS4,Blu Ray,Not Played,Sold,,,
199,Hotline Miami,PS4/PS3/PS Vita,Digital,Beaten,Own,,,
200,Kick & Fennick,PS3/PS Vita,Digital,Not Played,Own,,,
201,Hue,PS4,Digital,Not Played,Own,,,
202,Machinarium,PS3/PS Vita,Digital,Not Played,Own,,,
203,Far Cry 3 Blood Dragon,PS3,Digital,Not Played,Own,,,
204,Beyond Good & Evil,PS3,Digital,Not Played,Own,,,
205,Prototype 2,PS3,Digital,Not Played,Own,,,
206,Demon's Souls,PS3,Digital,Beaten,Own,,,
207,Dragon's Crown,PS3/PS Vita,Digital,Not Played,Own,,,
208,Crysis 3,PS3,Digital,Not Played,Own,,,
209,Dead Space 3,PS3,Digital,Not Played,Own,,,
210,Payday The Heist,PS3,Digital,Not Played,Own,,,
211,Plants vs. Zombies,PS3/PS Vita,Digital,Played,Own,,,
212,Hitman: Absolution,PS3,Digital,Beaten,Own,,,
213,Remember Me,PS3,Digital,Not Played,Own,,,
214,DMC: Devil May Cry,PS3,Digital,Beaten,Own,,,
215,Resident Evil The Umbrella Chronicles,PS3,Digital,Not Played,Own,,,
216,Super Street Fighter IV,PS3,Digital,Not Played,Own,,,
217,Resident Evil The Darkside Chronicles,PS3,Digital,Not Played,Own,,,
218,Resident Evil 5,PS3,Digital,Beaten,Own,,,
219,Mega Man 9,PS3,Digital,Not Played,Own,,,
220,Mega Man 10,PS3,Digital,Not Played,Own,,,
221,Zombie Apocalypse: Never Die Alone,PS3,Digital,Not Played,Own,,,
222,Hard Corps: Uprising,PS3,Digital,Not Played,Own,,,
223,Final Fantasy Tactics: The War of the Lions,PS3/PS Vita,Digital,Not Played,Own,,,
224,Thief,PS3,Digital,Not Played,Own,,,
